request_id,request
1094,i have cancer am i at risk of coronavirus?
1095,can i get tested quickly?
1096,can i go outside?
1097,when does covid vacation end?
1098,should i go to the doctor now
1099,is this worse than flue
1100,is covid transmissible from animals?
1101,i'd like a respirator
1102,can i get tested quickly?
1103,is it possible to detect the disease during the incubation period?
1104,what has the world health organization said about covid 19?
1105,how does the infection spread
1106,best vitamin to take
1107,is covid a disease?
1108,how long does it take to develop a vaccine?
1109,what can you do
1110,i want to help with shopping for the old.
1111,what is the difference between flu and coronavirus
1112,what is covid-19
1113,i need help
1114,how to avoid catching covid-19.
1115,can i travel in the current emergency situation?
1116,am i eligible for sick leave
1117,when will my kids be back in school?
1118,what schools are closed
1119,what is covid-19
1120,how long does it last
1121,should i go to the hospital
1122,i heard about a medication for coronavirus treatment
1123,can i go to the gym or should i avoid it?
1124,how much paid sick leave will i get if i am contracted with the virus?
1125,is there a test for the coronavirus
1126,how many current cases are there in illinois
1127,how do i know if i got this thing
1128,where can i get tested in alabama
1129,which countries should i avoid?
1130,is it possible to estimate how long it will take to administer the drug / vaccine to people?
1131,how do i get a coronavirus test?
1132,what countries are under a quarantine?
1133,origin of coronavirus
1134,how can i apply for unemployment during this outbreak?
1135,what can i do to not get sick?
1136,is there a test for coronavirus
1137,what opinion does the world health organization (who) have on next steps?
1138,can i get tested
1139,are there any cases near me
1140,should i change my travel plans?
1141,when will the schools open?
1142,how do i get screened?
1143,i want to help with babysitting.
1144,how is covid transmitted?
1145,can i go outside
1146,incubation period of coronavirus?
1147,how are you
1148,is this worse than flue
1149,can i get tested
1150,how long do symptons take to develop ?
1151,where are cases?
1152,what'is corona virus
1153,what is the most effective prevention?
1154,where are cases?
1155,origin of coronavirus
1156,where can i get a coronavirus test
1157,can a mask help me?
1158,will a respirator help me?
1159,i hate you
1160,who should i call if i have symptoms?
1161,this is crap
1162,who is most at risk?
1163,how long should you self-quarantine?
1164,can pets contract the virus
1165,i'm afraid and don't know what to do
1166,are groups of people allowed to meet?
1167,how long does coronavirus last
1168,can i still go grocery shopping
1169,can i travel out of the country?
1170,when will masks be available?
1171,how do i apply for unemployment benefits due to covid-19?
1172,what can you help me with
1173,how many people ar sick in the us?
1174,does the sun kill coronavirus?
1175,how do you test
1176,what is covid?
1177,where should i go if i suspect i have coronavirus?
1178,i'm hanging up
1179,how long do i need to quarantine before i no longer can transmit the virus?
1180,are quarantined visits allowed?
1181,how should i properly wash my hands?
1182,i need medicine. can i go to the store?
1183,what is effective prevention against covid?
1184,who are you
1185,i have symptoms. should i get tested?
1186,how long does the virus last?
1187,does eating garlic help?
1188,what is the most effective prevention?
1189,what does a pandemic mean?
1190,why aren't there respirators?
1191,coronavirus test kit
1192,is my kids school closed?
1193,can dogs get the coronavirus?
1194,where did corona virus start from?
1195,is it contagious
1196,how do i know if i'm sick with covid-19?
1197,can medication reduce fever caused by a possible covid infection?
1198,what is covid?
1199,will i die if i get coronavirus>
1200,can you direct me to the nearest test center
1201,who is most at risk?
1202,why aren't there enough masks and respirators?
1203,what is the difference between the flu and coronavirus
1204,should i buy a respirator?
1205,when do i know if i need to quarantine?
1206,how to treat covid?
1207,can dogs spread the corona virus?
1208,what medicine work best for treatment ?
1209,testing spots for coronavirus?
1210,is hs 123 open?
1211,do i have to use bleach to kill coronavirus?
1212,is covid19 contagious?
1213,where can i get screened?
1214,i think i'm infected
1215,how is covid transmitted?
1216,what are the symptoms
1217,ihave sore throat
1218,when will the nhl return?
1219,where should i go to get screened
1220,how to i apply for unemployment
1221,where can i test
1222,tell me about the symptoms
1223,what are symptoms?
1224,whats the difference between cleaning and disinfecting?
1225,what are the symptoms i should look out for
1226,is it possible to get infected with coronavirus if i have my goods shipped from chinese stores?
1227,"i have sore throat, is it coronavirus?"
1228,which schools are closed?
1229,how long does the corona virus last?
1230,"i need to get tested, where can i go?"
1231,who do i contact if i want to get tested for covid 19 infection?
1232,how do i stay safe
1233,how do we treat covid?
1234,is a headache a symptom of the coronavirus?
1235,how do i wash my hands properly?
1236,will government employees be paid during sick leave?
1237,will i get a refund for a ticket i purchased?
1238,how do i know if my concert is cancelled?
1239,i feel congested and have a fever
1240,what is a safe distance when someone brings me groceries?
1241,where can i get a test done?
1242,i'm hanging up
1243,can i still attend a conference
1244,what is the difference between covid-19 and the flu
1245,this is crap
1246,coronavirus test kit
1247,what is the risk of coronavirus for pregnant women?
1248,when can my kids go back to college?
1249,how many beds are available for covid-19 patients?
1250,how do i stay safe
1251,does the us have a confirmed covid case?
1252,how long before i experience covid-19 symptons?
1253,when can my kid go back to college
1254,does eating garlic help?
1255,where can i order a coronavirus test
1256,should my child stay home from school?
1257,what's the difference between flu and coronavirus
1258,is there a vaccine for covid-19?
1259,can i go to the grocery store or will i catch corona
1260,do i need to stay home
1261,how do i know if i got this
1262,do i have covid?
1263,where did the coronavirus come from?
1264,what measurements is the government taking?
1265,what are symtoms?
1266,who is responsible for quarantined people?
1267,are the local parks open?
1268,what should i do if i live by myself and i'm in quarantine?
1269,"if i think i have covid-19, should i see my dr?"
1270,what is shortness of breath
1271,where did covid come from?
1272,is covid the same as the flu?
1273,i have travled recently. what do i do?
1274,yes it is
1275,describe shortness of breath
1276,can i travel?
1277,what are symptoms?
1278,what does a pandemic mean?
1279,i have a fever
1280,is anyone allowed to visit during quarantine?
1281,what are my symptoms
1282,when can i return to the united states?
1283,my eyes are burning
1284,what exactly is home quarantine?
1285,am i going to die from the covid virus?
1286,is covid19 contagious?
1287,do i need a doctor's note to travel?
1288,should i wear a respirator?
1289,what kind of medicine should i take
1290,"if infected, how long should individuals self-quarantine?"
1291,how does covid-19 spread
1292,does ma have a confirmed covid case?
1293,does alcohol kill the coronavirus?
1294,where can i get masks?
1295,are you a robot?
1296,when can my kid go back to school
1297,what is the hospital capacity for covid 19 patients?
1298,should i get tested for covid-19?
1299,when should i call a doctor
1300,can my pets get the virus?
1301,how long does it last
1302,does covid spread by packages?
1303,is the us well prepared for covid 19
1304,is it possible to test for covid 19 during the incubation period?
1305,i'm hanging up
1306,is it ok for me to go to the grocery store
1307,how can i get screened
1308,can i visit relatives in another state?
1309,how does quarantine work?
1310,when will covid-19 medicines be ready?
1311,what are the risky countries?
1312,when can my kid go back school
1313,what can i ask you
1314,i'm afraid i have covid-19
1315,what if i live alone and can't go out to buy food?
1316,prevent the spread of the virus
1317,when can my kid go back to high school
1318,are schools closed ?
1319,can i take a sick leave to quarantine?
1320,can i get tested for cover?
1321,i'm a medical student and i want to get involved. how can i help?
1322,why aren't there respirators?
1323,what is the mortality rate of covid-19?
1324,what is covid
1325,medication that helps with coronavirus
1326,paid sick leave
1327,which countries should i avoid?
1328,i want to talk to someone.
1329,who is eligible to get paid sick leave
